sample_idx,silent_us,silent_ms,frame_bytes
719,137,0.137,23
720,133,0.133,23
721,131,0.131,23
722,132,0.132,23
723,131,0.131,23
724,132,0.132,23
725,131,0.131,23
726,136,0.136,23
727,132,0.132,23
728,184,0.184,23
729,134,0.134,23
730,132,0.132,23
731,131,0.131,23
732,132,0.132,23
733,134,0.134,23
734,132,0.132,23
735,130,0.13,23
736,130,0.13,23
737,131,0.131,23
738,130,0.13,23
739,132,0.132,23
740,136,0.136,23
741,133,0.133,23
742,127,0.127,23
743,129,0.129,23
744,129,0.129,23
745,130,0.13,23
746,132,0.132,23
747,127,0.127,23
748,135,0.135,23
749,129,0.129,23
750,132,0.132,23
751,131,0.131,23
752,129,0.129,23
753,132,0.132,23
754,127,0.127,23
755,135,0.135,23
756,135,0.135,23
757,131,0.131,23
758,133,0.133,23
759,131,0.131,23
760,130,0.13,23
761,131,0.131,23
762,134,0.134,23
763,133,0.133,23
764,131,0.131,23
765,132,0.132,23
766,131,0.131,23
767,132,0.132,23
768,131,0.131,23
769,132,0.132,23
770,137,0.137,23
771,129,0.129,23
772,132,0.132,23
773,126,0.126,23
774,132,0.132,23
775,132,0.132,23
776,130,0.13,23
777,142,0.142,23
778,137,0.137,23
779,131,0.131,23
780,132,0.132,23
781,126,0.126,23
782,132,0.132,23
783,132,0.132,23
784,127,0.127,23
785,136,0.136,23
786,132,0.132,23
787,130,0.13,23
788,131,0.131,23
789,129,0.129,23
790,132,0.132,23
791,130,0.13,23
792,135,0.135,23
793,131,0.131,23
794,132,0.132,23
795,130,0.13,23
796,132,0.132,23
797,126,0.126,23
798,132,0.132,23
799,130,0.13,23
800,137,0.137,23
801,127,0.127,23
802,132,0.132,23
803,132,0.132,23
804,131,0.131,23
805,129,0.129,23
806,132,0.132,23
807,136,0.136,23
808,132,0.132,23
809,132,0.132,23
810,130,0.13,23
811,130,0.13,23
812,131,0.131,23
813,130,0.13,23
814,137,0.137,23
815,133,0.133,23
816,133,0.133,23
817,127,0.127,23
818,130,0.13,23
819,129,0.129,23
820,127,0.127,23
821,131,0.131,23
822,137,0.137,23
823,130,0.13,23
824,133,0.133,23
825,130,0.13,23
826,132,0.132,23
827,129,0.129,23
828,134,0.134,23
829,136,0.136,23
830,127,0.127,23
831,131,0.131,23
832,129,0.129,23
833,129,0.129,23
834,129,0.129,23
835,128,0.128,23
836,129,0.129,23
837,136,0.136,23
838,131,0.131,23
839,129,0.129,23
840,132,0.132,23
841,130,0.13,23
842,130,0.13,23
843,130,0.13,23
